trastorn,trastorn_nom,eix,pes,direccio,justificacio,font,pes_proposta,direccio_proposta,justificacio_proposta,font_proposta
tea,Trastorn de l'espectre autista,entrenabilitat,10,suma,,,15,suma,L'entrenabilitat és el predictor positiu bàsic a tota la literatura de gossos d'assistència; el TEA no en demana més que la resta,Bray2019; Duffy2012
tea,Trastorn de l'espectre autista,energia,12,suma,,,5,suma,Cap font vincula el nivell d'energia amb l'èxit en TEA; pes baix per no introduir soroll,Burrows2008
tea,Trastorn de l'espectre autista,calma,15,suma,,,25,suma,L'ancoratge i la pressió calmant són les funcions centrals descrites; demanen un gos estable que no s'activi amb la desregulació del nen,Burrows2008
tea,Trastorn de l'espectre autista,sociabilitat,25,suma,,,20,suma,El gos fa de pont social i ha de tolerar maneig imprevisible; l'agressivitat cap a altres gossos és un predictor de fracàs,Burrows2008; Bray2019
tea,Trastorn de l'espectre autista,orientacio-persona,20,suma,,,15,suma,"El vincle amb el nen és el que sosté l'ancoratge, però és el nen qui s'hi vincula més que a l'inrevés",Burrows2008
tea,Trastorn de l'espectre autista,alerta,10,resta,,,5,resta,El lladruc persistent és el predictor de fracàs més fort de tots; a més afegeix càrrega sensorial a un infant sovint hipersensible,Bray2019
tea,Trastorn de l'espectre autista,tolerancia-entorns,8,suma,,,15,suma,La por a desconeguts i als sorolls sobtats és el segon predictor de fracàs; el gos ha de funcionar a escola i al carrer,Bray2019; Burrows2008
depressio,Depressió,entrenabilitat,10,suma,,,15,suma,Predictor positiu bàsic comú a tots els trastorns,Bray2019; Duffy2012
depressio,Depressió,energia,20,suma,,,20,suma,L'activació conductual és el mecanisme proposat: el gos ha de demandar sortides i trencar la inèrcia. És l'únic trastorn on l'energia alta és un actiu clar,Rodriguez2020b
depressio,Depressió,calma,10,suma,,,10,suma,Menys crític que en ansietat o TEPT: aquí no es busca contenir una crisi sinó activar,Rodriguez2020b
depressio,Depressió,sociabilitat,25,suma,,,20,suma,Reduir l'aïllament social és un dels efectes més consistents descrits; el gos actua de catalitzador amb terceres persones,Rodriguez2020b
