terme,terme_ca
intelligent,intel·ligent
loyal,lleial
alert,vigilant
energetic,enèrgic
courageous,valent
independent,independent
affectionate,afectuós
friendly,amigable
protective,protector
playful,juganer
confident,segur de si mateix
gentle,dolç
calm,tranquil
work-focused,orientat a la feina
devoted,entregat
adaptable,adaptable
outgoing,extravertit
eager to please,disposat a complaure
athletic,atlètic
docile,dòcil
happy,alegre
reserved,reservat
lively,vivaç
curious,curiós
hardy,resistent
spirited,animós
dignified,digne
smart,llest
aloof,distant
patient,pacient
agile,àgil
charming,encantador
determined,decidit
even-tempered,equilibrat
fearless,intrèpid
mischievous,entremaliat
active,actiu
amiable,afable
cautious,prudent
cheerful,jovial
clever,espavilat
easygoing,de tracte fàcil
good-natured,de bon caràcter
merry,joiós
optimistic,optimista
sensitive,sensible
sweet-tempered,de caràcter dolç
tenacious,tenaç
variable depending on ancestry and individual traits,variable segons l'ascendència i els trets individuals
hound,Coniller
working,Treball
mixed,Mestís
herding,Pastor
sporting,Mostra i cobrament
terrier,Terrier
non-sporting,No esportiu
toy,Miniatura
spitz and primitive types,Spitz i tipus primitius
primitive,Primitiu
companion,Companyia
foundation stock service,Estoc fundacional
scenthound,Coniller de rastre
sighthound,Llebrer
guardian,Guardià
northern,Nòrdic
scent hound,Coniller de rastre
unknown,Desconegut
landrace,Raça local
mixed breed,Mestís
pariah,Pària
pastoral/herding,Pastor
primitive/wild canid,Primitiu o cànid salvatge
sighthound & pariah,Llebrer i pària
spitz,Spitz
spitz-type,Tipus spitz
utility,Utilitat
